Settlement Date,Settlement Period,INDO
20170104,22,41995
20170104,23,42144
20170104,24,42005
20170104,25,41990
20170104,26,41982
20170104,27,41820
20170104,28,41809
20170104,29,42042
20170104,30,42239
20170104,31,42715
20170104,32,44069
20170104,33,45573
20170104,34,47432
20170104,35,48087
20170104,36,47844
20170104,37,47822
20170104,38,47497
20170104,39,47109
20170104,40,45986
20170104,41,44601
20170104,42,42816
20170104,43,40857
20170104,44,38540
20170104,45,36302
20170104,46,34098
20170104,47,31762
20170104,48,30507
20170104,1,30512
20170104,2,31233
20170104,3,30644
20170104,4,30350
20170104,5,29869
20170104,6,30251
20170104,7,30219
20170104,8,29821
20170104,9,29555
20170104,10,29577
20170104,11,29925
20170104,12,30661
20170104,13,32526
20170104,14,35403
20170104,15,38998
20170104,16,41089
20170104,17,42324
20170104,18,42834
20170104,19,43754
20170104,20,44216
20170104,21,44080
20170104,22,43942
20170104,23,44193
20170104,24,44178
20170104,25,44285
20170104,26,44211
20170104,27,44065
20170104,28,43990
20170104,29,44193
20170104,30,44369
20170104,31,44565
20170104,32,45862
20170104,33,46642
20170104,34,48588
20170104,35,49378
20170104,36,49282
20170104,37,49280
20170104,38,48869
20170104,39,48347
20170104,40,47086
20170104,41,46535
20170104,42,44806
20170104,43,42727
20170104,44,40452
20170104,45,38056
20170104,46,35892
20170104,47,33263
20170104,48,32091
20170105,1,30126
20170105,2,30566
20170105,3,30395
20170105,4,29757
20170105,5,29346
20170105,6,29369
20170105,7,29004
20170105,8,28568
20170105,9,28405
20170105,10,28597
20170105,11,29344
20170105,12,30712
20170105,13,34016
20170105,14,37324
20170105,15,41204
20170105,16,43274
20170105,17,44193
20170105,18,44188
20170105,19,44840
20170105,20,44698
20170105,21,44209
20170105,22,43864
20170105,23,43406
20170105,24,42957
20170105,25,42885
20170105,26,42726
20170105,27,42751
20170105,28,42828
20170105,29,43090
20170105,30,43374
20170105,31,44015
20170105,32,45282
20170105,33,47040
20170105,34,48991
20170105,35,49239
20170105,36,48818
20170105,37,48596
20170105,38,48549
20170105,39,47994
20170105,40,46664
20170105,41,45267
20170105,42,43313
20170105,43,41305
20170105,44,38838
20170105,45,36466
20170105,46,34114
20170105,47,31848
20170105,48,30576
20170105,1,32063
20170105,2,32783
20170105,3,32636
20170105,4,32397
20170105,5,31983
20170105,6,32237
20170105,7,31800
20170105,8,31356
20170105,9,31201
20170105,10,31290
20170105,11,32534
20170105,12,33790
20170105,13,35879
20170105,14,38956
20170105,15,42618
20170105,16,44651
20170105,17,45579
20170105,18,45597
20170105,19,46472
20170105,20,46331
20170105,21,45637
20170105,22,45289
20170105,23,44831
20170105,24,44379
20170105,25,44411
20170105,26,44251
20170105,27,44380
20170105,28,44457
20170105,29,44971
20170105,30,45238
20170105,31,45295
20170105,32,46456
20170105,33,47706
20170105,34,49674
20170105,35,50029
20170105,36,49574
20170105,37,49515
20170105,38,49354
20170105,39,48891
20170105,40,47539
20170105,41,46970
20170105,42,45171
20170105,43,43026
20170105,44,40484
20170105,45,38099
20170105,46,35746
20170105,47,33494
20170105,48,32612
20170106,1,30167
20170106,2,30472
20170106,3,30116
20170106,4,29356
20170106,5,28860
20170106,6,28724
20170106,7,28242
20170106,8,27745
20170106,9,27491
20170106,10,27510
20170106,11,28064
20170106,12,29229
20170106,13,32405
20170106,14,35568
20170106,15,39426
20170106,16,41684
20170106,17,43020
20170106,18,43110
20170106,19,43750
20170106,20,43959
20170106,21,43932
20170106,22,43971
20170106,23,44086
20170106,24,44133
20170106,25,44325
20170106,26,44215
20170106,27,44035
20170106,28,43940
20170106,29,44031
20170106,30,43882
20170106,31,44081
20170106,32,44880
20170106,33,46253
20170106,34,47491
20170106,35,47982
20170106,36,47545
20170106,37,46916
20170106,38,46103
20170106,39,45188
20170106,40,44042
20170106,41,42603
20170106,42,40862
20170106,43,38930
20170106,44,36852
20170106,45,34899
20170106,46,33308
20170106,47,31425
20170106,48,30289
20170106,1,33061
20170106,2,33488
20170106,3,33010
20170106,4,32488
20170106,5,32155
20170106,6,32077
20170106,7,31812
20170106,8,31308
20170106,9,31218
20170106,10,31219
20170106,11,31689
20170106,12,32135
20170106,13,34118
20170106,14,37207
20170106,15,41063
20170106,16,43316
20170106,17,44651
20170106,18,44748
20170106,19,45389
20170106,20,45594
20170106,21,45592
20170106,22,45710
20170106,23,45938
20170106,24,46050
20170106,25,46327
20170106,26,46299
20170106,27,45678
20170106,28,45467
20170106,29,45561
20170106,30,45302
20170106,31,45337
20170106,32,46177
20170106,33,47408
20170106,34,48786
20170106,35,49474
20170106,36,49207
20170106,37,48650
20170106,38,47751
20170106,39,46745
20170106,40,45583
20170106,41,44662
20170106,42,42828
20170106,43,40893
20170106,44,38644
20170106,45,36664
20170106,46,35035
20170106,47,33151
20170106,48,32931
20170107,1,29889
20170107,2,30127
20170107,3,29582
20170107,4,28816
20170107,5,28279
20170107,6,28027
20170107,7,27456
20170107,8,26744
20170107,9,26344
20170107,10,26107
20170107,11,26204
20170107,12,26546
20170107,13,27835
20170107,14,28892
20170107,15,30478
20170107,16,31682
20170107,17,33518
20170107,18,35423
20170107,19,37065
20170107,20,37717
20170107,21,38412
20170107,22,38693
20170107,23,39019
20170107,24,39411
20170107,25,39474
20170107,26,39412
20170107,27,39230
20170107,28,38905
20170107,29,38758
20170107,30,38620
20170107,31,38755
20170107,32,39258
20170107,33,40978
20170107,34,43104
20170107,35,43724
20170107,36,43777
20170107,37,43147
20170107,38,42446
20170107,39,41347
20170107,40,39790
20170107,41,38469
20170107,42,37021
20170107,43,35388
20170107,44,33949
20170107,45,32539
20170107,46,31362
20170107,47,29717
20170107,48,28724
20170107,1,33092
20170107,2,33216
20170107,3,32658
20170107,4,32364
20170107,5,32083
20170107,6,31827
20170107,7,31374
20170107,8,30647
20170107,9,30220
20170107,10,29981
20170107,11,30054
20170107,12,30222
20170107,13,30789
20170107,14,30743
20170107,15,32263
20170107,16,33466
20170107,17,35156
20170107,18,37051
20170107,19,38691
20170107,20,39351
20170107,21,40066
20170107,22,40376
20170107,23,40701
